grid,rho0,n_agents,seed,force_scheme,agent_radius,agent_mass,v0_max,steps_recorded,final_step,total_raw_contact_detections,total_unique_contact_events,peak_active_contacts,peak_max_rho,peak_max_u,minimum_rho_safety_margin,minimum_velocity_safety_margin,first_raw_contact_step,first_unique_contact_step,mean_agent_speed_over_time,peak_agent_speed_mean_field
100x100x100,1.0,30,86,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.015254223349556,0.0475538249112134,18.984745776650445,1.0524461750887868,20.0,20.0,0.25191654041724026,0.2523235129521533
100x100x100,1.0,30,87,nearest,5.0,25.0,0.2,100,99,13.0,6.0,2.0,1.0146576710603232,0.0475558982206754,18.985342328939677,1.0524441017793247,17.0,17.0,0.25191730881358376,0.2523219617513076
100x100x100,1.0,30,88,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0157099478335816,0.0491318717824666,18.98429005216642,1.0508681282175334,4.0,4.0,0.2518954482172828,0.2523253089129064
100x100x100,1.0,30,89,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0114510491526278,0.0422766554622001,18.988548950847374,1.0577233445378,4.0,4.0,0.2521005090657227,0.2523195358516533
100x100x100,1.0,30,90,nearest,5.0,25.0,0.2,100,99,6.0,6.0,2.0,1.0127209954190857,0.0468557819766895,18.987279004580913,1.0531442180233106,5.0,5.0,0.2519560339231455,0.2523242242066261
100x100x100,1.0,30,91,nearest,5.0,25.0,0.2,100,99,8.0,7.0,1.0,1.012690428596338,0.0447413561592756,18.987309571403664,1.0552586438407245,14.0,14.0,0.2520118861114986,0.2523167957312385
100x100x100,1.0,30,92,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0139581804862354,0.0454122043372864,18.986041819513765,1.0545877956627137,6.0,6.0,0.2519637390526824,0.2523217759940109
100x100x100,1.0,30,93,nearest,5.0,25.0,0.2,100,99,9.0,8.0,1.0,1.016711360428056,0.0476859246560396,18.983288639571946,1.0523140753439604,31.0,31.0,0.2519030421028095,0.2523217951632155
100x100x100,1.0,30,94,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0149960319945546,0.0491107527784935,18.985003968005444,1.0508892472215066,19.0,19.0,0.2518601420975914,0.2523222029209505
100x100x100,1.0,30,95,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0153101418353734,0.0494794222943406,18.984689858164625,1.0505205777056594,8.0,8.0,0.25168635122133864,0.252323799860995
100x100x100,1.0,30,96,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0140838848521956,0.0478264294844458,18.985916115147806,1.0521735705155544,5.0,5.0,0.25193710898665495,0.2523219860812127
100x100x100,1.0,30,97,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0133691932730615,0.0461626902967609,18.98663080672694,1.0538373097032392,11.0,11.0,0.2519829979429081,0.2523166408585893
100x100x100,1.0,30,98,nearest,5.0,25.0,0.2,100,99,7.0,5.0,1.0,1.0136232746649536,0.0457261766133233,18.986376725335045,1.0542738233866769,24.0,24.0,0.25193223741935056,0.2523219002168517
100x100x100,1.0,30,99,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0153480277071814,0.0484904949828617,18.98465197229282,1.0515095050171384,12.0,12.0,0.2519198594653428,0.2523204281523737
100x100x100,1.0,30,100,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.013680627405641,0.0475279459360194,18.98631937259436,1.0524720540639807,10.0,10.0,0.25195093324310114,0.25231971619399
100x100x100,1.0,30,101,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0136782042056462,0.0441202076197255,18.986321795794353,1.0558797923802745,6.0,6.0,0.25195763164893475,0.2523185057593998
100x100x100,1.0,30,102,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.015440920308903,0.0460753466492785,18.984559079691095,1.0539246533507216,6.0,6.0,0.25189157079005525,0.2523237219346871
100x100x100,1.0,30,103,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0160902926547597,0.0499629823977269,18.98390970734524,1.050037017602273,23.0,23.0,0.25173053226209935,0.2523268189209444
100x100x100,1.0,30,104,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.0147234411191142,0.0459355346802579,18.985276558880887,1.0540644653197422,7.0,7.0,0.25190928911478405,0.252322832070128
100x100x100,1.0,30,105,nearest,5.0,25.0,0.2,100,99,4.0,4.0,2.0,1.0117896295813067,0.0465471945675685,18.98821037041869,1.0534528054324317,14.0,14.0,0.2519897580581165,0.2523198219020097
100x100x100,1.0,30,106,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0133779907512233,0.0429051112242818,18.986622009248777,1.0570948887757183,37.0,37.0,0.25192718476470416,0.2523218212629849
100x100x100,1.0,30,107,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0145861263813278,0.0479423638713682,18.985413873618672,1.0520576361286318,19.0,19.0,0.2520602557491001,0.2523212432304446
100x100x100,1.0,30,108,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0147275476737048,0.0465454236735754,18.985272452326296,1.0534545763264247,4.0,4.0,0.25180596372967856,0.2523214947774712
100x100x100,1.0,30,109,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.0132597706678173,0.0405473592709184,18.986740229332185,1.0594526407290816,2.0,2.0,0.2518943575141208,0.2523215571677372
100x100x100,1.0,30,110,nearest,5.0,25.0,0.2,100,99,3.0,3.0,1.0,1.0160517257152524,0.0478725195123946,18.98394827428475,1.0521274804876055,31.0,31.0,0.25194802745497347,0.2523211066532294
100x100x100,1.0,30,111,nearest,5.0,25.0,0.2,100,99,16.0,12.0,2.0,1.0151541843017151,0.0472144780682533,18.984845815698286,1.0527855219317468,5.0,5.0,0.2516787263710986,0.2523147751972147
100x100x100,1.0,30,112,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0151116951857466,0.0490816755671321,18.984888304814252,1.050918324432868,2.0,2.0,0.2518362103505353,0.2523248028478312
