nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,grid,steps,agent_radius,agent_mass,v0_max,rho_threshold,max_vel,tau_bgk,condition_dir,grid_volume,grid_side
100,100,100,1.0,30,100,100,121,nearest,True,completed,5,5,0,1.0134251854995138,0.0439530626546487,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,122,nearest,True,completed,6,6,0,1.0143476322676808,0.043204804725033,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,123,nearest,True,completed,6,6,0,1.0153080633072555,0.0454305997685626,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,124,nearest,True,completed,4,4,0,1.0117186555639557,0.0422863382431943,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,125,nearest,True,completed,16,9,0,1.0146651196553609,0.0456514921107224,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,126,nearest,True,completed,8,8,0,1.0124004699912232,0.0427437942095306,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,127,nearest,True,completed,5,5,0,1.0156814198991555,0.0461593941242763,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,128,nearest,True,completed,3,3,0,1.013750456102472,0.0475212817486534,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,129,nearest,True,completed,7,7,0,1.0135573057639409,0.0459055364637161,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,130,nearest,True,completed,7,7,0,1.016796322736398,0.0495346101684196,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,131,nearest,True,completed,5,5,0,1.014251545879633,0.0472292818725162,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,132,nearest,True,completed,7,7,0,1.0126465426541078,0.0439638086691548,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,133,nearest,True,completed,14,8,0,1.014862054689958,0.0461346677621127,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,134,nearest,True,completed,7,7,0,1.0139343408599526,0.049195907184757,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,135,nearest,True,completed,3,3,0,1.0118411721758274,0.0393131377288852,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
